100000 3
1.000000 1474987372848.000000 144252848.000000 
2.000000 1474987372849.000000 144252849.000000 
3.000000 1474987372850.000000 144252850.000000 
4.000000 1474987372851.000000 144252851.000000 
5.000000 1474987372852.000000 144252852.000000 
6.000000 1474987372853.000000 144252853.000000 
7.000000 1474987372854.000000 144252854.000000 
8.000000 1474987372856.000000 144252856.000000 
9.000000 1474987372857.000000 144252857.000000 
10.000000 1474987372858.000000 144252858.000000 
11.000000 1474987372859.000000 144252859.000000 
12.000000 1474987372860.000000 144252860.000000 
13.000000 1474987372861.000000 144252861.000000 
14.000000 1474987372862.000000 144252862.000000 
15.000000 1474987372863.000000 144252863.000000 
16.000000 1474987372864.000000 144252864.000000 
17.000000 1474987372865.000000 144252865.000000 
18.000000 1474987372866.000000 144252866.000000 
19.000000 1474987372867.000000 144252867.000000 
20.000000 1474987372868.000000 144252868.000000 
21.000000 1474987372869.000000 144252869.000000 
22.000000 1474987372870.000000 144252870.000000 
23.000000 1474987372871.000000 144252871.000000 
24.000000 1474987372872.000000 144252872.000000 
25.000000 1474987372873.000000 144252873.000000 
26.000000 1474987372874.000000 144252874.000000 
27.000000 1474987372875.000000 144252875.000000 
28.000000 1474987372876.000000 144252876.000000 
29.000000 1474987372877.000000 144252877.000000 
30.000000 1474987372878.000000 144252878.000000 
31.000000 1474987372879.000000 144252879.000000 
32.000000 1474987372880.000000 144252880.000000 
33.000000 1474987372881.000000 144252881.000000 
34.000000 1474987372882.000000 144252882.000000 
35.000000 1474987372883.000000 144252883.000000 
36.000000 1474987372884.000000 144252884.000000 
37.000000 1474987372885.000000 144252885.000000 
38.000000 1474987372886.000000 144252886.000000 
39.000000 1474987372887.000000 144252887.000000 
40.000000 1474987372888.000000 144252888.000000 
41.000000 1474987372889.000000 144252889.000000 
42.000000 1474987372890.000000 144252890.000000 
43.000000 1474987372891.000000 144252891.000000 
44.000000 1474987372892.000000 144252892.000000 
45.000000 1474987372893.000000 144252893.000000 
46.000000 1474987372894.000000 144252894.000000 
47.000000 1474987372895.000000 144252895.000000 
48.000000 1474987372896.000000 144252896.000000 
49.000000 1474987372897.000000 144252897.000000 
50.000000 1474987372898.000000 144252898.000000 
51.000000 1474987372899.000000 144252899.000000 
52.000000 1474987372900.000000 144252900.000000 
53.000000 1474987372901.000000 144252901.000000 
54.000000 1474987372902.000000 144252902.000000 
55.000000 1474987372903.000000 144252903.000000 
56.000000 1474987372904.000000 144252904.000000 
57.000000 1474987372905.000000 144252905.000000 
58.000000 1474987372906.000000 144252906.000000 
59.000000 1474987372907.000000 144252907.000000 
60.000000 1474987372908.000000 144252908.000000 
61.000000 1474987372909.000000 144252909.000000 
62.000000 1474987372910.000000 144252910.000000 
63.000000 1474987372911.000000 144252911.000000 
64.000000 1474987372912.000000 144252912.000000 
65.000000 1474987372913.000000 144252913.000000 
66.000000 1474987372914.000000 144252914.000000 
67.000000 1474987372915.000000 144252915.000000 
68.000000 1474987372916.000000 144252916.000000 
69.000000 1474987372917.000000 144252917.000000 
70.000000 1474987372918.000000 144252918.000000 
71.000000 1474987372919.000000 144252919.000000 
72.000000 1474987372920.000000 144252920.000000 
73.000000 1474987372921.000000 144252921.000000 
74.000000 1474987372922.000000 144252922.000000 
75.000000 1474987372923.000000 144252923.000000 
76.000000 1474987372924.000000 144252924.000000 
77.000000 1474987372925.000000 144252925.000000 
78.000000 1474987372926.000000 144252926.000000 
79.000000 1474987372927.000000 144252927.000000 
80.000000 1474987372928.000000 144252928.000000 
81.000000 1474987372929.000000 144252929.000000 
82.000000 1474987372930.000000 144252930.000000 
83.000000 1474987372931.000000 144252931.000000 
84.000000 1474987372932.000000 144252932.000000 
85.000000 1474987372933.000000 144252933.000000 
86.000000 1474987372934.000000 144252934.000000 
87.000000 1474987372935.000000 144252935.000000 
88.000000 1474987372936.000000 144252936.000000 
89.000000 1474987372937.000000 144252937.000000 
90.000000 1474987372938.000000 144252938.000000 
91.000000 1474987372939.000000 144252939.000000 
92.000000 1474987372940.000000 144252940.000000 
93.000000 1474987372941.000000 144252941.000000 
94.000000 1474987372942.000000 144252942.000000 
95.000000 1474987372943.000000 144252943.000000 
96.000000 1474987372944.000000 144252944.000000 
97.000000 1474987372945.000000 144252945.000000 
